Sample_5,0.235,0.294,0.294,0.819,0.201,,,,,,,,
Sample_6,1.63,0.447,0.447,2.048,0.201,,,,,,,,450
Sample_7,0.851,0.718,0.718,5.12,,,,,,,,,450
Sample_8,0.809,1.339,1.339,12.8,,,,,,,,,450
Sample_9,0.651,2.536,2.536,32,,,,,,,,,450
Sample_10,0.853,3.431,3.431,80,,,,,,,,,450
Sample_11,0.523,3.814,3.814,200,,,,,,,,,450
Sample_12,0.516,,,,,,,,,,,,450
Sample_13,0.203,,,,,,,,,,,,450
Sample_14,0.568,,,,,,,,,,,,
Sample_15,0.644,,,,,,,,,,,,
Sample_16,0.595,,,,,,,,,,,,
Sample_17,0.544,,,,,,,,,,,,
Sample_18,0.35,,,,,,,,,,,,
Sample_19,0.6,,,,,,,,,,,,
Sample_20,1.149,,,,,,,,,,,,
Sample_21,0.499,,,,,,,,,,,,
Sample_22,0.487,,,,,,,,,,,,
Sample_23,1.228,,,,,,,,,,,,
Sample_24,0.726,,,,,,,,,,,,
Sample_25,0.789,,,,,,,,,,,,
Sample_26,1.364,,,,,,,,,,,,
Sample_27,0.723,,,,,,,,,,,,
Sample_28,0.673,,,,,,,,,,,,
Sample_29,0.499,,,,,,,,,,,,
Sample_30,0.487,,,,,,,,,,,,
Sample_31,1.228,,,,,,,,,,,,
Sample_32,0.726,,,,,,,,,,,,
Sample_33,0.789,,,,,,,,,,,,
Sample_34,1.364,,,,,,,,,,,,
Sample_35,0.723,,,,,,,,,,,,
Sample_36,0.673,,,,,,,,,,,,
Sample_37,0.792,,,,,,,,,,,,
Sample_38,0.912,,,,,,,,,,,,
Sample_39,0,,,,,,,,,,,,
Sample_40,0.963,,,,,,,,,,,,
Sample_41,0.722,,,,,,,,,,,,
Sample_42,0.531,,,,,,,,,,,,
Sample_43,0.514,,,,,,,,,,,,
Sample_44,0.674,,,,,,,,,,,,
Sample_45,0.654,,,,,,,,,,,,
Sample_46,0.508,,,,,,,,,,,,
Sample_47,0.292,,,,,,,,,,,,
Sample_48,0.758,,,,,,,,,,,,
Sample_49,0.747,,,,,,,,,,,,
Sample_50,0.414,,,,,,,,,,,,
Sample_51,0.611,,,,,,,,,,,,
Sample_52,0.351,,,,,,,,,,,,
Sample_53,0.864,,,,,,,,,,,,
Sample_54,0.806,,,,,,,,,,,,
Sample_55,1.025,,,,,,,,,,,,
Sample_56,0.772,,,,,,,,,,,,
Sample_57,0.574,,,,,,,,,,,,
Sample_58,0.678,,,,,,,,,,,,
Sample_59,0.68,,,,,,,,,,,,
Sample_60,1.106,,,,,,,,,,,,
Sample_61,0.88,,,,,,,,,,,,
Sample_62,2.502,,,,,,,,,,,,
Sample_63,0.804,,,,,,,,,,,,
Sample_64,0.371,,,,,,,,,,,,
Sample_65,0.764,,,,,,,,,,,,
Sample_66,0.581,,,,,,,,,,,,
Sample_67,0.351,,,,,,,,,,,,
Sample_68,0.892,,,,,,,,,,,,
Sample_69,1.347,,,,,,,,,,,,
Sample_70,0.747,,,,,,,,,,,,
Sample_71,0.524,,,,,,,,,,,,
Sample_72,0.796,,,,,,,,,,,,
Sample_73,1.57,,,,,,,,,,,,
Sample_74,0.293,,,,,,,,,,,,
Sample_75,0.851,,,,,,,,,,,,
Sample_76,0,,,,,,,,,,,,
Sample_77,0.82,,,,,,,,,,,,
Sample_78,0.737,,,,,,,,,,,,
Sample_79,0.961,,,,,,,,,,,,
Sample_80,0.813,,,,,,,,,,,,
Sample_81,0.651,,,,,,,,,,,,