Fold_1500_old_1000_1,1.698,0.201,0.201,0.819,0.137
Fold_1500_old_1000_2,0.724,0.299,0.299,2.048,0.137
Fold_1500_old_1000_3,1.077,0.456,0.456,5.12,
Fold_1500_old_1000_4,0.494,0.983,0.983,12.8,
Fold_1500_old_1000_5,0.622,1.884,1.884,32,
Fold_1500_old_1000_6,0.701,2.961,2.961,80,
Fold_1500_old_1000_7,0.621,3.319,3.319,200,
Fold_1500_old_1000_8,0.581,,,,
Fold_1500_old_1000_1,1.746,,,,
Fold_1500_old_1000_2,0.733,,,,
Fold_1500_old_1000_3,1.015,,,,
Fold_1500_old_1000_4,0.53,,,,
Fold_1500_old_1000_5,0.646,,,,
Fold_1500_old_1000_6,0.757,,,,
Fold_1500_old_1000_7,0.679,,,,
Fold_1500_old_1000_8,0.609,,,,
Fold_1500_old_1000_1,1.671,,,,
Fold_1500_old_1000_2,0.623,,,,
Fold_1500_old_1000_3,0.995,,,,
Fold_1500_old_1000_4,0.496,,,,
Fold_1500_old_1000_5,0.612,,,,
Fold_1500_old_1000_6,0.747,,,,
Fold_1500_old_1000_7,0.763,,,,
Fold_1500_old_1000_8,0.58,,,,
Fold_1500_1,1.446,,,,
Fold_1500_2,0.444,,,,
Fold_1500_3,0.833,,,,
Fold_1500_4,0.353,,,,
Fold_1500_5,0.461,,,,
Fold_1500_6,1.013,,,,
Fold_1500_7,0.535,,,,
Fold_1500_8,0.586,,,,
Fold_1500_1,1.394,,,,
Fold_1500_2,0.465,,,,
Fold_1500_3,0.865,,,,
Fold_1500_4,0.369,,,,
Fold_1500_5,0.478,,,,
Fold_1500_6,0.986,,,,
Fold_1500_7,0.537,,,,
Fold_1500_8,0.583,,,,
Fold_1500_1,1.388,,,,
Fold_1500_2,0.451,,,,
Fold_1500_3,0.832,,,,
Fold_1500_4,0.349,,,,
Fold_1500_5,0.476,,,,
Fold_1500_6,0.989,,,,
Fold_1500_7,0.543,,,,
Fold_1500_8,0.541,,,,